N	L	T	lambda0	lambda1	lambda2	K	h	b	Cost_AP	s_AP	S_AP	Sigma	sigma	Simu_AP	Simu_PL_0	Simu_PL_s	Simu_PL_S
12	2	2	0	1	5	100	1	29	323.4696459	7	37	0	0	323.64477	323.64477	323.64477	323.64477
12	2	2	0	1	5	100	3	9	375.511738	2	28	0	0	375.4645	375.4645	375.4645	375.4645
12	2	2	0	1	5	100	3	19	415.310795	5	27	0	0	415.18949	415.18949	415.18949	415.18949
12	2	2	0	1	5	100	3	29	438.6770413	6	27	0	0	438.95629	438.95629	438.95629	438.95629
12	2	2	0	1	5	100	5	9	415.0774203	2	22	0	0	415.17152	415.17152	415.17152	415.17152
12	2	2	0	1	5	100	5	19	460.3732496	5	23	0	0	460.51919	460.51919	460.51919	460.51919
12	2	2	0	1	5	100	5	29	489.1338692	6	23	0	0	488.97079	488.97079	488.97079	488.97079
12	2	2	0	1	5	200	1	9	424.5601261	2	59	0	0	424.54536	424.54536	424.54536	424.54536
12	2	2	0	1	5	200	1	19	460.3551657	4	62	0	0	460.20231	460.20231	460.20231	460.20231
12	2	2	0	1	5	200	1	29	482.097647	5	64	0	0	482.2284	482.2284	482.2284	482.2284
12	2	2	0	1	5	200	3	9	580.2255691	2	30	0	0	580.19834	580.19834	580.19834	580.19834
12	2	2	0	1	5	200	3	19	630.1883031	4	32	0	0	630.21091	630.21091	630.21091	630.21091
12	2	2	0	1	5	200	3	29	660.955329	5	33	0	0	660.70018	660.70018	660.70018	660.70018
12	2	2	0	1	5	200	5	9	644.535374	0	27	0	0	644.58922	644.58922	644.58922	644.58922
12	2	2	0	1	5	200	5	19	721.0377671	3	29	0	0	721.11009	721.11009	721.11009	721.11009
12	2	2	0	1	5	200	5	29	764.2959389	4	30	0	0	764.30507	764.30507	764.30507	764.30507
12	2	2	1	1	4	50	1	9	225.416093	7	34	5	2	225.55085	235.37651	229.05501	232.38011
12	2	2	1	1	4	50	1	19	277.6313399	9	36	5	3	277.64587	294.7377	281.51675	284.42254
12	2	2	1	1	4	50	1	29	323.9823017	10	36	5	3	323.81671	347.15069	327.90201	330.64505
12	2	2	1	1	4	50	3	9	290.2786093	6	23	5	1	290.26634	306.51602	302.192	320.34842
12	2	2	1	1	4	50	3	19	355.156847	8	24	5	2	355.30671	386.34815	370.67405	387.07824
12	2	2	1	1	4	50	3	29	408.5628466	9	24	5	2	408.7571	452.26232	426.14637	441.73826
12	2	2	1	1	4	50	5	9	320.9745092	6	20	5	1	320.99226	339.24894	338.57661	372.81034
12	2	2	1	1	4	50	5	19	392.9958628	8	20	5	2	392.82859	429.31885	420.02281	451.07527
12	2	2	1	1	4	50	5	29	450.7641974	9	21	5	2	451.27696	502.47211	480.90688	512.62675
12	2	2	1	1	4	100	1	9	327.4504266	7	35	5	2	327.27903	336.71616	330.62446	333.80306
