N	L	T	lambda0	lambda1	lambda2	K	h	b	Cost	s	S
12	3	2	4	1	1	50	1	29	1087.695563	23	48	
12	3	2	4	1	1	50	3	9	646.2437592	16	32	
12	3	2	4	1	1	50	3	19	986.0509979	19	34	
12	3	2	4	1	1	50	3	29	1297.616465	21	35	
12	3	2	4	1	1	50	5	9	731.0107972	15	28	
12	3	2	4	1	1	50	5	19	1105.962207	18	30	
12	3	2	4	1	1	50	5	29	1437.504188	20	31	
12	3	2	4	1	1	100	1	9	597.8249579	17	45	
12	3	2	4	1	1	100	1	19	899.1031737	20	48	
12	3	2	4	1	1	100	1	29	1189.947392	22	49	
12	3	2	4	1	1	100	3	9	777.7104369	14	38	
12	3	2	4	1	1	100	3	19	1128.211174	18	40	
12	3	2	4	1	1	100	3	29	1443.709581	20	41	
12	3	2	4	1	1	100	5	9	885.5330556	13	31	
12	3	2	4	1	1	100	5	19	1272.475355	17	33	
12	3	2	4	1	1	100	5	29	1609.542756	19	35	
12	3	2	4	1	1	200	1	9	712.1124381	15	67	
12	3	2	4	1	1	200	1	19	1023.818051	19	72	
12	3	2	4	1	1	200	1	29	1318.972171	20	73	
12	3	2	4	1	1	200	3	9	980.1134536	14	39	
12	3	2	4	1	1	200	3	19	1336.039408	17	43	
12	3	2	4	1	1	200	3	29	1655.095913	19	44	
12	3	2	4	1	1	200	5	9	1105.696228	11	35	
12	3	2	4	1	1	200	5	19	1517.952084	15	39	
12	3	2	4	1	1	200	5	29	1866.235383	17	41	
12	3	2	5	1	0	50	1	9	543.9344596	21	46	
12	3	2	5	1	0	50	1	19	894.9504993	24	49	
12	3	2	5	1	0	50	1	29	1235.678123	25	50	
12	3	2	5	1	0	50	3	9	696.0070739	18	34	
12	3	2	5	1	0	50	3	19	1087.827716	22	36	
12	3	2	5	1	0	50	3	29	1450.381964	23	38	
12	3	2	5	1	0	50	5	9	783.0721637	17	30	
12	3	2	5	1	0	50	5	19	1211.178358	20	32	
12	3	2	5	1	0	50	5	29	1594.425215	22	33	
12	3	2	5	1	0	100	1	9	644.7611785	19	47	
12	3	2	5	1	0	100	1	19	996.5935528	22	50	
12	3	2	5	1	0	100	1	29	1337.846096	24	51	
12	3	2	5	1	0	100	3	9	826.4198379	16	40	
12	3	2	5	1	0	100	3	19	1228.882658	20	42	
12	3	2	5	1	0	100	3	29	1595.471238	22	43	
12	3	2	5	1	0	100	5	9	936.409922	15	33	
12	3	2	5	1	0	100	5	19	1376.258174	19	35	
12	3	2	5	1	0	100	5	29	1765.117727	21	37	
